"Survey","EIR","MDA"
1,0.01,0
2,0.0198494,0
3,0.017389,0
4,0.0143697,0
5,0.0106721,0
6,0.01,0
7,0.01,0
8,0.01,0
9,0.01,0
10,0.01,0
11,0.01,0
12,0.01,0
13,0.01,0
14,0.01,0
15,0.01,0
16,0.01,0
17,0.01,0
18,0.01,0
19,0.01,0
20,0.01,0
21,0.01,0
22,0.01,0
23,0.01,0
24,0.01,0
25,0.01,0
26,0.01,0
27,0.01,0
28,0.01,0
29,0.01,0
30,0.01,0
31,0.01,0
32,0.01,0
33,0.0212272,0
34,0.0427952,0
35,0.073688,0
36,0.118455,0
37,0.184216,0
38,0.281369,0
39,0.422802,0
40,0.627807,0
41,0.911864,0
42,1.28255,0
43,1.73617,0
44,2.24717,0
45,2.78016,0
46,3.28588,0
47,3.70224,0
48,3.9751,0
49,4.07761,0
50,3.99851,0
51,3.76072,0
52,3.40761,0
53,2.98529,0
54,2.53978,0
55,2.10805,0
56,1.71146,0
57,1.36291,0
58,1.0671,0
59,0.823533,0
60,0.627715,0
61,0.473193,0
62,0.353187,0
63,0.261429,0
64,0.192494,0
65,0.141454,0
66,0.104249,0
67,0.077701,0
68,0.0593656,0
69,0.0473133,0
70,0.0401707,0
71,0.0368013,0
72,0.0361627,0
73,0.037398,0
74,0.0396795,0
75,0.0421954,0
76,0.0443476,0
77,0.0455963,0
78,0.0456669,0
79,0.0445505,0
80,0.0422732,0
81,0.0390318,0
82,0.0351498,0
83,0.0308598,0
84,0.0262391,0
85,0.021452,0
86,0.0167461,0
87,0.012164,0
88,0.01,0
89,0.01,0
90,0.01,0
91,0.01,0
92,0.01,0
93,0.01,0
94,0.01,0
95,0.01,0
96,0.01,0
97,0.01,0
98,0.01,0
99,0.01,0
100,0.01,0
101,0.01,0
102,0.01,0
103,0.01,0
104,0.0136821,0
105,0.0313732,0
106,0.0568314,0
107,0.092656,0
108,0.142564,0
109,0.21199,0
110,0.30889,0
111,0.448602,0
112,0.652692,0
113,0.937596,0
114,1.32449,0
115,1.82772,0
116,2.43366,0
117,3.1018,0
118,3.76972,0
119,4.36346,0
120,4.79651,0
121,5.01595,0
122,5.00037,0
123,4.77156,0
124,4.37106,0
125,3.86584,0
126,3.32381,0
127,2.791,0
128,2.29582,0
129,1.85287,0
130,1.46985,0
131,1.14844,0
132,0.885208,0
133,0.67382,0
134,0.507373,0
135,0.37848,0
136,0.280183,0
137,0.206246,0
138,0.151363,0
139,0.111254,0
140,0.082553,0
141,0.062708,0
142,0.0497085,0
143,0.0419437,0
144,0.0381595,0
145,0.0373424,0
146,0.0386751,0
147,0.0411031,0
148,0.0436174,0
149,0.0455903,0
150,0.0466632,0
151,0.0467509,0
152,0.0456733,0
153,0.043435,0
154,0.040265,0
155,0.03638,0
156,0.0321516,0
157,0.027747,0
158,0.0231383,0
159,0.018393,0
160,0.0135258,0
161,0.01,0
162,0.01,0
163,0.01,0
164,0.01,0
165,0.01,0
166,0.01,0
167,0.01,0
168,0.01,0
169,0.01,0
170,0.01,0
171,0.01,0
172,0.01,0
173,0.01,0
174,0.01,0
175,0.01,0
176,0.01,0
177,0.01173,0
178,0.0288177,0
179,0.0529444,0
180,0.086929,0
181,0.135293,0
182,0.204215,0
183,0.302777,0
184,0.445851,0
185,0.651487,0
186,0.933433,0
187,1.30571,0
188,1.78588,0
189,2.36933,0
190,3.0112,0
191,3.65384,0
192,4.23008,0
193,4.65899,0
194,4.88233,0
195,4.87061,0
196,4.65245,0
197,4.27881,0
198,3.80407,0
199,3.28219,0
200,2.75925,0
201,2.2684,0
202,1.82955,0
203,1.45139,0
204,1.13415,0
205,0.874236,0
206,0.665139,0
207,0.500097,0
208,0.372266,0
209,0.274791,0
210,0.201661,0
211,0.147597,0
212,0.108324,0
213,0.080471,0
214,0.061338,0
215,0.0487678,0
216,0.0410698,0
217,0.037075,0
218,0.0359179,0
219,0.0368025,0
220,0.0389477,0
221,0.041517,0
222,0.0437841,0
223,0.0449936,0
224,0.0449442,0
225,0.0435587,0
226,0.0410301,0
227,0.0376196,0
228,0.0335697,0
229,0.0291613,0
230,0.0246521,0
231,0.0201324,0
232,0.0155342,0
233,0.0108661,0
234,0.01,0
235,0.01,0
236,0.01,0
237,0.01,0
238,0.01,0
239,0.01,0
240,0.01,0
241,0.01,0
242,0.01,0
243,0.01,0
244,0.01,0
245,0.01,0
246,0.01,0
247,0.01,0
248,0.01,0
249,0.01,0
250,0.0103423,0
251,0.0257496,0
252,0.0478303,0
253,0.080257,0
254,0.127292,0
255,0.193967,0
256,0.286986,0
257,0.41811,0
258,0.607302,0
259,0.876035,0
260,1.23997,0
261,1.70615,0
262,2.26143,0
263,2.87147,0
264,3.49271,0
265,4.04445,0
266,4.44638,0
267,4.65802,0
268,4.66016,0
269,4.46493,0
270,4.11384,0
271,3.66255,0
272,3.16262,0
273,2.66201,0
274,2.19364,0
275,1.77305,0
276,1.40702,0
277,1.09911,0
278,0.847015,0
279,0.644925,0
280,0.48557,0
281,0.361787,0
282,0.267259,0
283,0.196172,0
284,0.143587,0
285,0.105373,0
286,0.078182,0
287,0.059355,0
288,0.0469302,0
289,0.0394173,0
290,0.0355814,0
291,0.0344349,0
292,0.035239,0
293,0.0372349,0
294,0.0395897,0
295,0.0415316,0
296,0.0425196,0
297,0.0423604,0
298,0.0410163,0
299,0.0385937,0
300,0.0352984,0
301,0.0314333,0
302,0.0272671,0
303,0.0229023,0
304,0.0183429,0
305,0.0137638,0
306,0.01,0
307,0.01,0
308,0.01,0
309,0.01,0
310,0.01,0
311,0.01,0
312,0.01,0
313,0.01,0
314,0.01,0
315,0.01,0
316,0.01,0
317,0.01,0
318,0.01,0
319,0.01,0
320,0.01,0
321,0.01,0
322,0.01,0
323,0.01,0
324,0.0222369,0
325,0.0449317,0
326,0.076547,0
327,0.120993,0
328,0.1843,0
329,0.274098,0
330,0.401669,0
331,0.583798,0
332,0.835497,0
333,1.16931,0
334,1.59844,0
335,2.12595,0
336,2.71695,0
337,3.30615,0
338,3.83569,0
339,4.24613,0
340,4.47568,0
341,4.49476,0
342,4.31958,0
343,3.99055,0
344,3.55834,0
345,3.07584,0
346,2.59185,0
347,2.13694,0
348,1.72852,0
349,1.37437,0
350,1.07572,0
351,0.830134,0
352,0.63207,0
353,0.475576,0
354,0.354308,0
355,0.261935,0
356,0.19242,0
357,0.140772,0
358,0.10313,0
359,0.076278,0
360,0.0576991,0
361,0.0454099,0
362,0.0380061,0
363,0.0343214,0
364,0.0334526,0
365,0.0345051,0
366,0.0364775,0
367,0.0386798,0
368,0.0405531,0
369,0.0416346,0
370,0.0415953,0
371,0.0404225,0
372,0.0379817,0
373,0.0344886,0
374,0.0303233,0
375,0.0258659,0
376,0.0215188,0
377,0.017261,0
378,0.0130398,0
379,0.01,0
380,0.01,0
381,0.01,0
382,0.01,0
383,0.01,0
384,0.01,0
385,0.01,0
386,0.01,0
387,0.01,0
388,0.01,0
389,0.01,0
390,0.01,0
391,0.01,0
392,0.01,0
393,0.01,0
394,0.01,0
395,0.01,0
396,0.01,0
397,0.0225618,0
398,0.0433671,0
399,0.072068,0
400,0.11204,0
401,0.168398,0
402,0.248095,0
403,0.364107,0
404,0.534971,0
405,0.778253,0
406,1.11097,0
407,1.54244,0
408,2.06882,0
409,2.65944,0
410,3.2578,0
411,3.78754,0
