"Survey","EIR","MDA"
1,0.01,0
2,0.0135333,0
3,0.01,0
4,0.01,0
5,0.01,0
6,0.01,0
7,0.01,0
8,0.01,0
9,0.01,0
10,0.01,0
11,0.01,0
12,0.01,0
13,0.01,0
14,0.01,0
15,0.01,0
16,0.01,0
17,0.01,0
18,0.01,0
19,0.01,0
20,0.01,0
21,0.01,0
22,0.01,0
23,0.01,0
24,0.01,0
25,0.01,0
26,0.01,0
27,0.01,0
28,0.01,0
29,0.01,0
30,0.01,0
31,0.01,0
32,0.01,0
33,0.0178928,0
34,0.0393229,0
35,0.067254,0
36,0.103537,0
37,0.151537,0
38,0.21469,0
39,0.298024,0
40,0.406961,0
41,0.54624,0
42,0.721987,0
43,0.933918,0
44,1.18189,0
45,1.45915,0
46,1.74613,0
47,2.01344,0
48,2.23801,0
49,2.41463,0
50,2.53227,0
51,2.58042,0
52,2.55141,0
53,2.44897,0
54,2.28768,0
55,2.08918,0
56,1.86907,0
57,1.64302,0
58,1.42021,0
59,1.20871,0
60,1.01464,0
61,0.840763,0
62,0.688874,0
63,0.558754,0
64,0.44888,0
65,0.357463,0
66,0.282382,0
67,0.221079,0
68,0.171229,0
69,0.131063,0
70,0.098842,0
71,0.073073,0
72,0.052575,0
73,0.0363767,0
74,0.0234995,0
75,0.0130395,0
76,0.01,0
77,0.01,0
78,0.01,0
79,0.01,0
80,0.01,0
81,0.01,0
82,0.01,0
83,0.01,0
84,0.01,0
85,0.01,0
86,0.01,0
87,0.01,0
88,0.01,0
89,0.01,0
90,0.01,0
91,0.01,0
92,0.01,0
93,0.01,0
94,0.01,0
95,0.01,0
96,0.01,0
97,0.01,0
98,0.01,0
99,0.01,0
100,0.01,0
101,0.01,0
102,0.01,0
103,0.01,0
104,0.01,0
105,0.01,0
106,0.0270791,0
107,0.050469,0
108,0.081691,0
109,0.12287,0
110,0.176486,0
111,0.24655,0
112,0.339467,0
113,0.461624,0
114,0.614492,0
115,0.799726,0
116,1.02147,0
117,1.28209,0
118,1.57219,0
119,1.86655,0
120,2.14513,0
121,2.3922,0
122,2.58771,0
123,2.70795,0
124,2.74762,0
125,2.69993,0
126,2.56963,0
