"Time","Weight","Concentration"
1,5,152.387121560308
2,5,135.186480545371
3,5,119.926853859628
4,5,106.389708633548
5,5,94.3806140064308
6,5,83.7270861499665
7,5,74.2761109255579
8,5,65.8919461778975
9,5,58.4541721020152
10,5,51.8559616816746
11,5,46.0025463578262
12,5,40.8098548898729
13,5,36.2033058600276
14,5,32.1167364777854
15,5,28.4914522991775
16,5,25.2753842121472
17,5,22.4223405800237
18,5,19.8913438018068
19,5,17.6460417604298
20,5,15.6541857057715
21,5,13.8871670733717
22,5,12.3196065862842
23,5,10.9289897384353
24,5,9.69534342401849
25,5,8.60094906842836
26,5,7.63008814050212
27,5,6.76881639091826
28,5,6.00476357419229
29,5,5.32695577772277
30,5,4.72565780604125
31,5,4.19223335646787
32,5,3.71902097790794
33,5,3.29922403121487
34,5,2.92681307064548
35,5,2.59643924433554
36,5,2.30335746998662
37,5,2.04335828235445
38,5,1.81270737368037
39,5,1.60809195869901
40,5,1.42657319387524
41,5,1.26554396747924
42,5,1.12269145424806
43,5,0.995963896815226
44,5,0.883541136797679
45,5,0.783808472284977
46,5,0.69533346625194
47,5,0.616845372799378
48,5,0.547216885726794
49,5,0.485447947296061
50,5,0.430651384635114
51,5,0.382040167480684
52,5,0.338916104245977
53,5,0.300659814057583
54,5,0.266721830732283
55,5,0.236614710922277
56,5,0.20990603307994
57,5,0.186212186687876
58,5,0.165192862550429
59,5,0.14654616501199
1,6,126.989267966923
2,6,112.655400454475
3,6,99.9390448830232
4,6,88.6580905279564
5,6,78.6505116720257
6,6,69.7725717916388
7,6,61.8967591046316
8,6,54.9099551482479
9,6,48.7118100850127
10,6,43.2133014013955
11,6,38.3354552981885
12,6,34.0082124082274
13,6,30.169421550023
14,6,26.7639470648211
15,6,23.7428769159813
16,6,21.0628201767893
17,6,18.6852838166864
18,6,16.576119834839
19,6,14.7050348003581
20,6,13.0451547548096
21,6,11.5726392278097
22,6,10.2663388219035
23,6,9.10749144869612
24,6,8.07945285334874
25,6,7.16745755702363
26,6,6.35840678375176
27,6,5.64068032576522
28,6,5.00396964516024
29,6,4.43912981476897
30,6,3.93804817170104
31,6,3.49352779705656
32,6,3.09918414825662
33,6,2.74935335934572
34,6,2.43901089220456
35,6,2.16369937027962
36,6,1.91946455832218
37,6,1.70279856862871
38,6,1.51058947806698
39,6,1.34007663224917
40,6,1.18881099489603
41,6,1.05461997289937
42,6,0.935576211873384
43,6,0.829969914012689
44,6,0.736284280664733
45,6,0.653173726904148
46,6,0.57944455520995
47,6,0.514037810666149
48,6,0.456014071438995
49,6,0.404539956080051
50,6,0.358876153862595
51,6,0.318366806233903
52,6,0.282430086871648
53,6,0.250549845047986
54,6,0.222268192276902
55,6,0.197178925768564
56,6,0.174921694233283
57,6,0.155176822239897
58,6,0.137660718792024
59,6,0.122121804176659
1,7,108.847943971648
2,7,96.5617718181218
3,7,85.6620384711627
4,7,75.9926490239626
5,7,67.4147242903077
6,7,59.8050615356904
7,7,53.0543649468271
8,7,47.0656758413553
9,7,41.752980072868
10,7,37.0399726297676
11,7,32.8589616841616
12,7,29.1498963499092
13,7,25.859504185734
14,7,22.940526055561
15,7,20.3510373565554
16,7,18.0538458658194
17,7,16.0159575571598
18,7,14.2081027155763
19,7,12.6043155431641
20,7,11.1815612184082
21,7,9.91940505240834
22,7,8.79971899020298
23,7,7.80642124173953
24,7,6.92524530287035
25,7,6.1435350488774
26,7,5.45006295750151
27,7,4.8348688506559
28,7,4.28911683870878
29,7,3.80496841265912
30,7,3.37546986145804
31,7,2.99445239747705
32,7,2.65644355564853
33,7,2.35658859372491
34,7,2.09058076474677
35,7,1.85459946023967
36,7,1.64525533570473
37,7,1.45954163025318
38,7,1.29479098120027
39,7,1.14863711335643
40,7,1.01898085276803
41,7,0.903959976770886
42,7,0.801922467320043
43,7,0.711402783439447
44,7,0.631100811998342
45,7,0.559863194489269
46,7,0.496666761608529
47,7,0.440603837713842
48,7,0.390869204090567
49,7,0.346748533782901
50,7,0.307608131882225
51,7,0.272885833914774
52,7,0.24208293160427
53,7,0.214757010041131
54,7,0.190515593380202
55,7,0.169010507801626
56,7,0.149932880771386
57,7,0.133008704777054
58,7,0.117994901821735
59,7,0.104675832151422
1,8,95.2419509751924
2,8,84.4915503408566
3,8,74.9542836622674
4,8,66.4935678959673
5,8,58.9878837540193
6,8,52.3294288437291
7,8,46.4225693284737
8,8,41.1824663611859
9,8,36.5338575637595
10,8,32.4099760510467
11,8,28.7515914736414
12,8,25.5061593061705
13,8,22.6270661625172
14,8,20.0729602986159
15,8,17.8071576869859
16,8,15.797115132592
17,8,14.0139628625148
18,8,12.4320898761292
19,8,11.0287761002686
20,8,9.78386606610721
21,8,8.6794794208573
22,8,7.69975411642761
23,8,6.83061858652209
24,8,6.05958964001156
25,8,5.37559316776772
26,8,4.76880508781382
27,8,4.23051024432391
28,8,3.75297723387018
29,8,3.32934736107673
30,8,2.95353612877578
31,8,2.62014584779242
32,8,2.32438811119247
33,8,2.06201501950929
34,8,1.82925816915342
35,8,1.62277452770972
36,8,1.43959841874164
37,8,1.27709892647153
38,8,1.13294210855023
39,8,1.00505747418688
40,8,0.891608246172025
