"EIR","IC50_SP","Indicator_40_b"
"5",6.7779911698157,25
"50",6.7779911698157,30
"100",6.7779911698157,30
"150",6.7779911698157,30
"5",2.3719351957351,30.25
"50",2.3719351957351,35
"100",2.3719351957351,35
"150",2.3719351957351,35
"5",2.3996530673117,30
"50",2.3996530673117,35
"100",2.3996530673117,35
"150",2.3996530673117,35
"5",3.7065546295473,29
"50",3.7065546295473,30.75
"100",3.7065546295473,32.375
"150",3.7065546295473,32.5
"5",0.0384777215855,40
"50",0.0384777215855,40
"100",0.0384777215855,40
"150",0.0384777215855,40
"5",8.7134879812012,24.5
"50",8.7134879812012,29
"100",8.7134879812012,30
"150",8.7134879812012,30
"5",4.3715666669927,28.25
"50",4.3715666669927,30
"100",4.3715666669927,30.25
"150",4.3715666669927,30.25
"5",0.2047215523218,40
"50",0.2047215523218,40
"100",0.2047215523218,40
"150",0.2047215523218,40
"5",1.7365042125599,30.5
"50",1.7365042125599,35
"100",1.7365042125599,35
"150",1.7365042125599,35
"5",5.9067972679034,25.25
"50",5.9067972679034,30
"100",5.9067972679034,30
"150",5.9067972679034,30
"5",4.5673427045712,27.75
"50",4.45673427045712,30
"100",4.45673427045712,30
"150",4.45673427045712,30
"5",7.7285411008177,25
"50",7.7285411008177,30
"100",7.7285411008177,30
"150",7.7285411008177,30
"5",99.4496419795462,0
"50",99.4496419795462,0
"100",99.4496419795462,0
"150",99.4496419795462,0
"5",1.5383034751269,30.5
"50",1.5383034751269,35
"100",1.5383034751269,35
"150",1.5383034751269,35
"5",7.93687624957,24.75
"50",7.93687624957,30
"100",7.93687624957,30
"150",7.93687624957,30
"5",9.9758949161595,23.625
"50",9.69758949161595,26.75
"100",9.69758949161595,28.5
"150",9.69758949161595,28.5
"5",5.05489826109323,26.875
"50",5.05489826109323,30
"100",5.05489826109323,30
"150",5.05489826109323,30
"5",6.7886179650229,25
"50",6.7886179650229,30
"100",6.7886179650229,30
"150",6.7886179650229,30
"5",4.9782974314909,26.25
"50",4.9782974314909,30
"100",4.9782974314909,30
"150",4.9782974314909,30
"5",7.9755754272545,25
"50",7.9755754272545,30
"100",7.9755754272545,30
"150",7.9755754272545,30
"5",0.4997146911271,39.75
"50",0.4997146911271,40
"100",0.4997146911271,40
"150",0.4997146911271,40
"5",2.03813001628244,30
"50",2.03813001628244,35
"100",2.03813001628244,35
"150",2.03813001628244,35
"5",2.0820029216778,30
"50",2.0820029216778,35
"100",2.0820029216778,35
"150",2.0820029216778,35
"5",0.104817205219,40
"50",0.104817205219,40
"100",0.104817205219,40
"150",0.104817205219,40
"5",48.7429957781248,12.125
"50",48.7429957781248,15
"100",48.7429957781248,15
"150",48.7429957781248,15
"5",53.0210579265675,10.125
"50",53.0210579265675,15
"100",53.0210579265675,15
"150",53.0210579265675,15
"5",91.6543626520036,0
"50",91.6543626520036,0
"100",91.6543626520036,0
"150",91.6543626520036,0
"5",69.8810407987523,3.375
"50",69.8810407987523,9.25
"100",69.8810407987523,9.5
"150",69.8810407987523,10
"5",24.2020732836452,20
"50",24.2020732836452,20
"100",24.2020732836452,21.5
"150",24.2020732836452,20.5
"5",55.6267455435126,9.5
"50",55.6267455435126,14.125
"100",55.6267455435126,14.25
"150",55.6267455435126,14.75
"5",2.75962301285728,30
"50",2.75962301285728,35
"100",2.75962301285728,34.75
"150",2.75962301285728,35
"5",86.7094688707133,0
"50",86.7094688707133,0
"100",86.7094688707133,0
"150",86.7094688707133,0
"5",33.0197201734909,15.75
"50",33.0197201734909,20
"100",33.0197201734909,20
"150",33.0197201734909,20
"5",15.436496049435,20
"50",15.436496049435,25
"100",15.436496049435,25
"150",15.436496049435,25
"5",22.0070280343056,19.75
"50",22.0070280343056,21.75
