"Time","Efficacy","Efficacy_U","Efficacy_L","Results"
0,0,NA,NA,"Quadruple"
5,0.882763719130095,0.909093338388031,0.856434099872158,"Quadruple"
10,0.921802074106091,0.931563872796542,0.912040275415641,"Quadruple"
15,0.907006551899707,0.919592760060831,0.894420343738584,"Quadruple"
20,0.909761424423183,0.922443959550751,0.897078889295614,"Quadruple"
25,0.860860824323819,0.878369179949665,0.843352468697972,"Quadruple"
30,0.781521972741613,0.80551030615956,0.757533639323667,"Quadruple"
35,0.427956530988323,0.467385986585586,0.388527075391061,"Quadruple"
40,0,0.0640240550210058,-0.0640240550210058,"Quadruple"
45,0,0.0928847070026109,-0.0928847070026109,"Quadruple"
50,0,0.119429040162379,-0.119429040162379,"Quadruple"
55,0,0.12665237888895,-0.12665237888895,"Quadruple"
60,0,0.119195635632927,-0.119195635632927,"Quadruple"
0,0,NA,NA,"Senstive"
5,0.95442298323863,0.970710018314344,0.938135948162915,"Senstive"
10,0.960307990124679,0.967428101301396,0.953187878947963,"Senstive"
15,0.966181170838688,0.974325267025555,0.958037074651821,"Senstive"
20,0.959409571582039,0.96735580865465,0.951463334509427,"Senstive"
25,0.911202621620593,0.920782347551506,0.901622895689679,"Senstive"
30,0.853380412792502,0.87697553725004,0.829785288334965,"Senstive"
35,0.80041071603352,0.82260433427389,0.77821709779315,"Senstive"
40,0.717435039792583,0.746787836846206,0.68808224273896,"Senstive"
45,0.589697673967477,0.617766302256217,0.561629045678737,"Senstive"
50,0.275602873635435,0.331770066105729,0.219435681165142,"Senstive"
55,0,0.0845629137854376,-0.0845629137854376,"Senstive"
60,0,0.127625776270529,-0.127625776270529,"Senstive"
0,1,1,1,"Zongo"
5,1,1,0.99,"Zongo"
10,1,1,0.98,"Zongo"
15,0.97,0.98,0.95,"Zongo"
20,0.898,0.95,0.81,"Zongo"
25,0.801,0.87,0.72,"Zongo"
30,0.701,0.79,0.59,"Zongo"
35,0.59,0.72,0.39,"Zongo"
40,0.367,0.59,0,"Zongo"
45,0.108,0.36,0,"Zongo"
50,0,0.16,0,"Zongo"
55,0,0,0,"Zongo"
60,0,0,0,"Zongo"
