"Coverage","Access","EIR","Indicator","Age","Number_round","Seasonality","Coverage_reduction","Time_0.1","Prevalance","Equity"
"0.75","0.4",5,0.0165000014540825,"10","4","sesonality2","0",46.4153479311527,NA,"High"
"0.85","0.4",5,0.0186487805769478,"10","4","sesonality2","0",41.0672057186653,NA,"High"
"0.95","0.4",5,0.0219067667647777,"10","4","sesonality2","0",34.9596686986747,NA,"High"
"0.75","0.4",15,0.0188530158235387,"10","4","sesonality2","0",40.622323532958,NA,"High"
"0.85","0.4",15,0.021126151440493,"10","4","sesonality2","0",36.2514351235709,NA,"High"
"0.95","0.4",15,0.0241529334673397,"10","4","sesonality2","0",31.7085007248239,NA,"High"
"0.75","0.4",25,0.0213941877771156,"10","4","sesonality2","0",35.7972602808958,NA,"High"
"0.85","0.4",25,0.0237730031238787,"10","4","sesonality2","0",32.21525292219,NA,"High"
"0.95","0.4",25,0.0265208302174456,"10","4","sesonality2","0",28.8774258602199,NA,"High"
"0.75","0.4",35,0.0238980566936133,"10","4","sesonality2","0",32.0466771911391,NA,"High"
"0.85","0.4",35,0.0263589717625843,"10","4","sesonality2","0",29.0547489960465,NA,"High"
"0.95","0.4",35,0.0288005693835254,"10","4","sesonality2","0",26.5916030394125,NA,"High"
"0.75","0.4",45,0.0261906680945318,"10","4","sesonality2","0",29.2414575142381,NA,"High"
"0.85","0.4",45,0.0287141957488976,"10","4","sesonality2","0",26.6715918165728,NA,"High"
"0.95","0.4",45,0.0308468021070994,"10","4","sesonality2","0",24.8276403400501,NA,"High"
"0.75","0.4",55,0.0281780977421451,"10","4","sesonality2","0",27.1790280296424,NA,"High"
"0.85","0.4",55,0.0307554852785663,"10","4","sesonality2","0",24.9013566659439,NA,"High"
"0.95","0.4",55,0.0325999999648242,"10","4","sesonality2","0",23.4924327969979,NA,"High"
"0.75","0.4",65,0.0298310532251226,"10","4","sesonality2","0",25.6730227584051,NA,"High"
"0.85","0.4",65,0.0324615351917393,"10","4","sesonality2","0",23.5926398376456,NA,"High"
"0.95","0.4",65,0.0340544669720098,"10","4","sesonality2","0",22.4890704936077,NA,"High"
"0.75","0.4",75,0.0311584713482755,"10","4","sesonality2","0",24.5792965834362,NA,"High"
"0.85","0.4",75,0.0338406324354793,"10","4","sesonality2","0",22.631175992823,NA,"High"
"0.95","0.4",75,0.0352224918223553,"10","4","sesonality2","0",21.7433028934565,NA,"High"
"0.75","0.4",85,0.0322050567579085,"10","4","sesonality2","0",23.7805296886395,NA,"High"
"0.85","0.4",85,0.0349344310016185,"10","4","sesonality2","0",21.9225928803673,NA,"High"
"0.95","0.4",85,0.036144015904937,"10","4","sesonality2","0",21.1889378969412,NA,"High"
"0.75","0.4",95,0.0330509215866952,"10","4","sesonality2","0",23.171919922017,NA,"High"
"0.85","0.4",95,0.0358282135802733,"10","4","sesonality2","0",21.3757045586397,NA,"High"
"0.95","0.4",95,0.0369071763353048,"10","4","sesonality2","0",20.7507965767395,NA,"High"
"0.75","0.4",105,0.0337747588651692,"10","4","sesonality2","0",22.6753153564499,NA,"High"
"0.85","0.4",105,0.0366150655477383,"10","4","sesonality2","0",20.9163440485243,NA,"High"
"0.95","0.4",105,0.0376167779591543,"10","4","sesonality2","0",20.3593542537683,NA,"High"
"0.75","0.4",115,0.0344294510061861,"10","4","sesonality2","0",22.2441336116037,NA,"High"
"0.85","0.4",115,0.0373643080372258,"10","4","sesonality2","0",20.4969220249643,NA,"High"
"0.95","0.4",115,0.0383571585022864,"10","4","sesonality2","0",19.9663723346481,NA,"High"
"0.75","0.4",125,0.0350455397828757,"10","4","sesonality2","0",21.853089240474,NA,"High"
"0.85","0.4",125,0.0381170060638265,"10","4","sesonality2","0",20.0921684949062,NA,"High"
"0.95","0.4",125,0.0391785367611139,"10","4","sesonality2","0",19.5477772185689,NA,"High"
"0.75","0.4",135,0.0356493320688407,"10","4","sesonality2","0",21.4829637446464,NA,"High"
"0.85","0.4",135,0.0388976672108182,"10","4","sesonality2","0",19.6889264388268,NA,"High"
"0.95","0.4",135,0.0401006753020766,"10","4","sesonality2","0",19.0982646199004,NA,"High"
"0.75","0.4",145,0.0362172116760283,"10","4","sesonality2","0",21.1461145934289,NA,"High"
"0.85","0.4",145,0.0396632923085478,"10","4","sesonality2","0",19.3088688250601,NA,"High"
"0.95","0.4",145,0.041062542011943,"10","4","sesonality2","0",18.6508986251513,NA,"High"
"0.75","0.4",155,0.0366661350905118,"10","4","sesonality2","0",20.8872112227053,NA,"High"
"0.85","0.4",155,0.0402934490684433,"10","4","sesonality2","0",19.0068938267079,NA,"High"
"0.95","0.4",155,0.0419134701495902,"10","4","sesonality2","0",18.2722476956076,NA,"High"
"0.75","0.4",5,0.0140632126994925,"10","4","sesonality2","0",54.457919731485,0.0830001829295434,"Poor"
"0.85","0.4",5,0.0162897679082983,"10","4","sesonality2","0",47.0143781462735,0.0830001829295434,"Poor"
"0.95","0.4",5,0.0194366943188836,"10","4","sesonality2","0",39.4024465164174,0.0830001829295434,"Poor"
"0.75","0.4",15,0.0171991049333359,"10","4","sesonality2","0",44.5286723538365,0.137001431448641,"Poor"
"0.85","0.4",15,0.019980587392341,"10","4","sesonality2","0",38.3298695537516,0.137001431448641,"Poor"
"0.95","0.4",15,0.0232224422372108,"10","4","sesonality2","0",32.9790166138766,0.137001431448641,"Poor"
"0.75","0.4",25,0.0196430442608922,"10","4","sesonality2","0",38.9885242930761,0.17938386441634,"Poor"
"0.85","0.4",25,0.0229486960306721,"10","4","sesonality2","0",33.3724106734501,0.17938386441634,"Poor"
"0.95","0.4",25,0.0263274119396986,"10","4","sesonality2","0",29.0895781974282,0.17938386441634,"Poor"
"0.75","0.4",35,0.021274401355325,"10","4","sesonality2","0",35.9988182776326,0.197522821342399,"Poor"
"0.85","0.4",35,0.025045862605371,"10","4","sesonality2","0",30.5780367968453,0.197522821342399,"Poor"
"0.95","0.4",35,0.0286045087314529,"10","4","sesonality2","0",26.7738668594454,0.197522821342399,"Poor"
"0.75","0.4",45,0.0223915249897874,"10","4","sesonality2","0",34.2028204289375,0.221514478633562,"Poor"
"0.85","0.4",45,0.0265436796484887,"10","4","sesonality2","0",28.8525674849067,0.221514478633562,"Poor"
"0.95","0.4",45,0.0302909888112265,"10","4","sesonality2","0",25.283205943806,0.221514478633562,"Poor"
"0.75","0.4",55,0.0232784584889859,"10","4","sesonality2","0",32.899657368555,0.239750691757973,"Poor"
"0.85","0.4",55,0.0277137839714523,"10","4","sesonality2","0",27.6343825565164,0.239750691757973,"Poor"
"0.95","0.4",55,0.031634049014498,"10","4","sesonality2","0",24.2097781414188,0.239750691757973,"Poor"
"0.75","0.4",65,0.0240343772313656,"10","4","sesonality2","0",31.8649117047353,0.259023733939406,"Poor"
"0.85","0.4",65,0.0286632799790439,"10","4","sesonality2","0",26.7189696683593,0.259023733939406,"Poor"
"0.95","0.4",65,0.0327434315099925,"10","4","sesonality2","0",23.3895249531817,0.259023733939406,"Poor"
"0.75","0.4",75,0.0246939329933582,"10","4","sesonality2","0",31.0138246735242,0.269816831458165,"Poor"
"0.85","0.4",75,0.0294432593917417,"10","4","sesonality2","0",26.0111592322749,0.269816831458165,"Poor"
"0.95","0.4",75,0.0336784606147487,"10","4","sesonality2","0",22.7401518470942,0.269816831458165,"Poor"
"0.75","0.4",85,0.0253021143492752,"10","4","sesonality2","0",30.2683521931717,0.280366876622461,"Poor"
"0.85","0.4",85,0.0301104776809553,"10","4","sesonality2","0",25.4347777697384,0.280366876622461,"Poor"
"0.95","0.4",85,0.0344922253133245,"10","4","sesonality2","0",22.2036502834716,0.280366876622461,"Poor"
"0.75","0.4",95,0.0259041487583051,"10","4","sesonality2","0",29.5648899912306,0.293994164810167,"Poor"
"0.85","0.4",95,0.0307210379651577,"10","4","sesonality2","0",24.9292784060343,0.293994164810167,"Poor"
"0.95","0.4",95,0.0352317052204998,"10","4","sesonality2","0",21.7376168301427,0.293994164810167,"Poor"
"0.75","0.4",105,0.0264952164901744,"10","4","sesonality2","0",28.9053425413518,0.30313192947885,"Poor"
"0.85","0.4",105,0.0312924903950847,"10","4","sesonality2","0",24.4740287106092,0.30313192947885,"Poor"
"0.95","0.4",105,0.0359164152211484,"10","4","sesonality2","0",21.3232112291878,0.30313192947885,"Poor"
