"Survey","Host_2","Uncomp_2","MDAs_2"
1,1562,0,0
2,1562,20,0
3,1562,13,0
4,1562,18,0
5,1561,10,0
6,1561,7,0
7,1561,11,0
8,1561,3,0
9,1561,11,0
10,1561,9,0
11,1561,8,0
12,1562,6,0
13,1561,5,0
14,1560,6,0
15,1560,6,0
16,1560,2,0
17,1560,2,0
18,1560,2,0
19,1560,4,0
20,1560,3,0
21,1560,3,0
22,1559,4,0
23,1559,2,0
24,1559,4,0
25,1560,2,0
26,1560,2,0
27,1560,3,0
28,1560,4,0
29,1559,1,0
30,1559,0,0
31,1559,1,0
32,1559,5,0
33,1559,0,0
34,1560,6,0
35,1560,2,0
36,1560,11,0
37,1560,10,0
38,1560,12,0
39,1560,14,0
40,1561,11,0
41,1562,16,0
42,1561,30,0
43,1561,18,0
44,1561,28,0
45,1561,33,0
46,1561,46,0
47,1561,50,0
48,1561,51,0
49,1561,46,0
50,1563,58,0
51,1562,69,0
52,1562,66,0
53,1561,69,0
54,1560,68,0
55,1562,66,0
56,1562,75,0
57,1561,55,0
58,1561,66,0
59,1563,58,0
60,1561,78,0
61,1560,63,0
62,1559,61,0
63,1559,56,0
64,1559,46,0
65,1559,42,0
66,1559,49,0
67,1559,38,0
68,1559,50,0
69,1559,28,0
70,1559,34,0
71,1559,35,0
72,1560,22,0
73,1560,27,0
74,1560,14,0
75,1561,22,0
76,1561,12,0
77,1561,17,0
78,1561,8,0
79,1560,11,0
80,1560,10,0
81,1560,9,0
82,1559,9,0
83,1559,7,0
84,1559,5,0
85,1559,10,0
86,1560,5,0
87,1560,7,0
88,1560,6,0
89,1560,2,0
90,1560,3,0
91,1560,3,0
92,1560,4,0
93,1560,7,0
94,1560,4,0
95,1560,3,0
96,1560,2,0
97,1560,4,0
98,1561,5,0
99,1561,0,0
100,1562,2,0
101,1562,2,0
102,1562,3,0
103,1564,4,0
104,1565,8,0
105,1564,2,0
106,1564,8,0
107,1563,3,0
108,1562,4,0
109,1562,11,0
110,1561,15,0
111,1561,12,0
112,1561,14,0
113,1561,20,0
114,1561,16,0
115,1560,31,0
116,1560,44,0
117,1560,43,0
118,1559,57,0
119,1559,38,0
120,1560,43,0
121,1560,54,0
122,1560,60,0
123,1560,63,0
124,1560,61,0
125,1560,79,0
126,1559,69,0
127,1559,75,0
128,1560,80,0
129,1560,70,0
130,1561,72,0
131,1561,62,0
132,1561,71,0
133,1561,61,0
134,1561,54,0
135,1561,74,0
136,1561,66,0
137,1562,63,0
138,1562,45,0
139,1562,49,0
140,1562,28,0
141,1562,44,0
142,1562,36,0
143,1562,37,0
144,1561,35,0
145,1561,30,0
146,1561,22,0
147,1561,17,0
148,1560,24,0
149,1560,19,0
150,1560,18,0
151,1559,22,0
152,1559,13,0
153,1559,13,0
154,1559,8,0
155,1559,10,0
156,1560,6,0
157,1560,7,0
158,1560,13,0
159,1559,9,0
160,1559,7,0
161,1559,3,0
162,1559,7,0
163,1560,4,0
164,1560,7,0
165,1562,2,0
166,1562,4,0
167,1561,5,0
168,1560,4,0
169,1560,1,0
170,1560,3,0
171,1560,5,0
172,1560,3,0
173,1560,3,0
174,1561,2,0
175,1561,5,0
176,1561,4,0
177,1561,4,0
178,1561,3,0
179,1561,4,0
180,1561,6,0
181,1561,9,0
182,1561,9,0
183,1562,7,0
184,1562,14,0
185,1563,22,0
186,1563,19,0
187,1563,32,0
188,1563,36,0
189,1563,33,0
190,1563,37,0
191,1563,40,0
192,1562,41,0
193,1563,50,0
194,1562,36,0
195,1562,65,0
196,1563,76,0
197,1562,61,0
198,1562,86,0
199,1562,60,0
200,1562,62,0
201,1563,73,0
202,1562,82,0
203,1561,68,0
204,1561,63,0
205,1560,63,0
206,1559,55,0
207,1559,58,0
208,1559,55,0
209,1560,65,0
210,1560,49,0
211,1559,55,0
212,1559,44,0
213,1559,36,0
214,1559,33,0
215,1559,37,0
216,1559,32,0
217,1559,19,0
218,1560,26,0
219,1560,23,0
220,1560,19,0
221,1559,14,0
222,1559,21,0
223,1560,18,0
224,1560,13,0
225,1560,8,0
226,1559,10,0
227,1561,10,0
228,1561,13,0
229,1560,10,0
230,1560,11,0
231,1560,10,0
232,1560,6,0
233,1560,5,0
234,1560,2,0
235,1560,6,0
236,1559,4,0
237,1559,6,0
238,1559,4,0
239,1559,5,0
240,1559,5,0
241,1560,2,0
242,1559,1,0
243,1559,7,0
244,1559,4,0
245,1559,5,0
246,1559,3,0
247,1559,2,0
248,1560,5,0
249,1560,5,0
250,1560,7,0
251,1560,3,0
252,1560,5,0
253,1560,5,0
254,1560,5,0
255,1561,7,0
256,1561,7,0
257,1561,12,0
258,1563,13,0
259,1562,18,0
260,1561,19,0
261,1560,22,0
262,1560,31,0
263,1560,29,0
264,1560,34,0
265,1560,49,0
266,1560,62,0
267,1560,55,0
268,1560,53,0
269,1560,47,0
270,1560,60,0
271,1559,69,0
272,1559,64,0
273,1560,81,0
274,1560,60,0
275,1560,47,0
276,1560,81,0
277,1559,63,0
278,1561,69,0
279,1562,73,0
280,1564,65,0
281,1563,55,0
282,1562,44,0
283,1562,55,0
284,1562,51,0
285,1563,41,0
286,1564,50,0
287,1563,42,0
288,1563,40,0
289,1562,27,0
290,1561,28,0
291,1560,25,0
292,1562,22,0
293,1561,19,0
294,1561,20,0
295,1561,22,0
296,1561,10,0
297,1562,11,0
298,1561,11,0
299,1561,7,0
300,1562,11,0
301,1562,8,0
302,1562,7,0
303,1562,7,0
304,1562,5,0
305,1561,5,0
306,1561,6,0
307,1560,4,0
308,1560,3,0
309,1560,6,0
310,1560,5,0
311,1560,4,0
312,1560,2,0
313,1560,3,0
314,1560,6,0
315,1560,4,0
316,1560,3,0
317,1560,3,0
318,1560,3,0
319,1560,5,0
320,1560,3,0
321,1560,4,0
322,1560,3,0
323,1560,6,0
324,1560,4,0
325,1561,2,0
326,1561,9,0
327,1561,2,0
328,1561,11,0
329,1561,14,0
330,1560,15,0
331,1560,15,0
332,1560,18,0
333,1560,24,0
334,1561,29,0
335,1560,34,0
336,1561,33,0
337,1562,46,0
338,1562,44,0
339,1562,46,0
340,1563,70,0
341,1563,55,0
342,1563,69,0
343,1562,66,0
344,1561,67,0
345,1561,70,0
346,1561,75,0
347,1561,63,0
348,1560,70,0
349,1559,82,0
350,1559,55,0
351,1559,55,0
352,1559,66,0
353,1559,66,0
354,1559,60,0
355,1559,52,0
356,1559,47,0
357,1560,47,0
358,1560,42,0
359,1560,37,0
360,1560,47,0
361,1560,35,0
362,1560,38,0
363,1560,31,0
364,1560,22,0
365,1560,22,0
366,1560,26,0
367,1561,21,0
368,1560,17,0
369,1560,12,0
370,1560,16,0
371,1560,13,0
372,1559,13,0
373,1559,13,0
374,1559,3,0
375,1559,7,0
376,1560,6,0
377,1560,7,0
378,1560,9,0
379,1560,6,0
380,1560,3,0
381,1560,1,0
382,1560,3,0
383,1560,2,0
384,1560,5,0
385,1561,4,0
386,1561,7,0
387,1561,3,0
388,1561,2,0
389,1561,2,0
390,1562,0,0
391,1562,1,0
392,1562,3,0
393,1561,5,0
394,1561,1,0
395,1561,2,0
396,1561,5,0
397,1560,7,0
398,1560,4,0
399,1560,7,0
400,1560,5,0
401,1560,9,0
402,1560,7,0
403,1560,7,0
