"Age","Number_round","Coverage_reduction","Coverage","Access","EIR","Seasonality","PE_1","PP"
5,4,0.1,0.75,"0.05","10","sesonality2",0.650111545973904,35
5,4,0.1,0.75,"0.05","10","sesonality2",0.513817787719551,21
5,4,0.1,0.75,"0.05","25","sesonality2",0.632496689901406,35
5,4,0.1,0.75,"0.05","25","sesonality2",0.512809801071996,21
5,4,0.1,0.75,"0.05","50","sesonality2",0.655012224710102,35
5,4,0.1,0.75,"0.05","50","sesonality2",0.502140657617356,21
5,4,0.1,0.75,"0.05","75","sesonality2",0.653521938971766,35
5,4,0.1,0.75,"0.05","75","sesonality2",0.503452300268741,21
5,4,0.1,0.75,"0.05","100","sesonality2",0.642807864581597,35
5,4,0.1,0.75,"0.05","100","sesonality2",0.482418192124303,21
5,4,0.1,0.75,"0.05","125","sesonality2",0.645177152081108,35
5,4,0.1,0.75,"0.05","125","sesonality2",0.499024917174026,21
5,4,0.1,0.75,"0.05","150","sesonality2",0.64563688839157,35
5,4,0.1,0.75,"0.05","150","sesonality2",0.491350737353671,21
5,4,0.1,0.75,"0.1","10","sesonality2",0.675231035534838,35
5,4,0.1,0.75,"0.1","10","sesonality2",0.550634137218013,21
5,4,0.1,0.75,"0.1","25","sesonality2",0.60706552534467,35
5,4,0.1,0.75,"0.1","25","sesonality2",0.458003251447271,21
5,4,0.1,0.75,"0.1","50","sesonality2",0.632577078570412,35
5,4,0.1,0.75,"0.1","50","sesonality2",0.466998177614482,21
5,4,0.1,0.75,"0.1","75","sesonality2",0.619007066640738,35
5,4,0.1,0.75,"0.1","75","sesonality2",0.467158742660817,21
5,4,0.1,0.75,"0.1","100","sesonality2",0.608870310519626,35
5,4,0.1,0.75,"0.1","100","sesonality2",0.448488860744379,21
5,4,0.1,0.75,"0.1","125","sesonality2",0.592275832568689,35
5,4,0.1,0.75,"0.1","125","sesonality2",0.435288761594593,21
5,4,0.1,0.75,"0.1","150","sesonality2",0.605091168925414,35
5,4,0.1,0.75,"0.1","150","sesonality2",0.432895104652625,21
5,4,0.1,0.75,"0.2","10","sesonality2",0.58464081803072,35
5,4,0.1,0.75,"0.2","10","sesonality2",0.443403509353779,21
5,4,0.1,0.75,"0.2","25","sesonality2",0.597181796334151,35
5,4,0.1,0.75,"0.2","25","sesonality2",0.393338747651282,21
5,4,0.1,0.75,"0.2","50","sesonality2",0.587736517539294,35
5,4,0.1,0.75,"0.2","50","sesonality2",0.421255595322676,21
5,4,0.1,0.75,"0.2","75","sesonality2",0.580717322006459,35
