"IC50_SP_R","IC50_SP","Age","Number_round","Coverage_reduction","Coverage","eir","Access","half_life_long","Dosage_long","seed","seasonality","scenario_name","Indicator","Indicator_1","Input_EIR","Simulated_EIR","time_eir","time_eir_2","Liste","time_0.1"
5,2.39,5,4,0.1,0.75,"25","0.05",15,30,1,"sesonality2","scenario_37_1.txt",0.0301867376166311,0.0303311705979567,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,928,25.3705225812088
10,2.39,5,4,0.1,0.75,"25","0.05",15,30,1,"sesonality2","scenario_38_1.txt",0.0155089833179261,0.0160525068998621,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,961,49.3812710128169
15,2.39,5,4,0.1,0.75,"25","0.05",15,30,1,"sesonality2","scenario_39_1.txt",0.0143528044047161,0.0148276429776331,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,994,53.359140608376
21,2.39,5,4,0.1,0.75,"25","0.05",15,30,1,"sesonality2","scenario_40_1.txt",0.0062485423617846,0.00615808777710545,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,1030,122.565114232023
25,2.39,5,4,0.1,0.75,"25","0.05",15,30,1,"sesonality2","scenario_41_1.txt",0.00159539800106324,0.00169186206204508,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,1063,200
5,2.39,5,4,0.1,0.95,"25","0.05",15,30,1,"sesonality2","scenario_61_1.txt",0.0376422317077606,0.0379153067535618,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,1729,20.3455872197363
10,2.39,5,4,0.1,0.95,"25","0.05",15,30,1,"sesonality2","scenario_62_1.txt",0.0232675408454472,0.0230617023507435,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,1762,32.9150946136889
15,2.39,5,4,0.1,0.95,"25","0.05",15,30,1,"sesonality2","scenario_63_1.txt",0.0191542959927293,0.0193290401804352,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,1795,39.9833702395782
21,2.39,5,4,0.1,0.95,"25","0.05",15,30,1,"sesonality2","scenario_64_1.txt",0.00916612051674147,0.00952520808136699,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,1828,83.5526117027342
25,2.39,5,4,0.1,0.95,"25","0.05",15,30,1,"sesonality2","scenario_65_1.txt",0.00328376995494487,0.00329043804843367,30.1917874470588,25.4420582154583,8.2236842105263,8.30946271929825,1861,200
5,2.39,5,4,0.1,0.75,"50","0.05",15,30,1,"sesonality2","scenario_73_1.txt",0.0327520346717623,0.0325008022985451,60.3384512273598,48.7144676425445,8.2236842105263,8.30946271929825,2128,23.3833810946731
