"Survey","nHost_1","nHost_2","nHost_3","nHost_4","nInfect_1","nInfect_2","nInfect_3","nInfect_4","nExpectd_1","nExpectd_2","nExpectd_3","nExpectd_4","nPatent_1","nPatent_2","nPatent_3","nPatent_4","nTransmit","nTreatments1_1","nTreatments1_2","nTreatments1_3","nTreatments1_4","nUncomp_1","nUncomp_2","nUncomp_3","nUncomp_4","innoculationsPerAgeGroup_R1","innoculationsPerAgeGroup_S1","innoculationsPerAgeGroup_R2","innoculationsPerAgeGroup_S2","innoculationsPerAgeGroup_R3","innoculationsPerAgeGroup_S3","innoculationsPerAgeGroup_R4","innoculationsPerAgeGroup_S4","Vector_Nv","inputEIR","simulatedEIR","nMDAs_1","nMDAs_2","nMDAs_3","nMDAs_4","nTreatDiagnostics_1","nTreatDiagnostics_2","nTreatDiagnostics_3","nTreatDiagnostics_4","nInfectByGenotype_R1","nInfectByGenotype_S1","nInfectByGenotype_R2","nInfectByGenotype_S2","nInfectByGenotype_R3","nInfectByGenotype_S3","nInfectByGenotype_R4","nInfectByGenotype_S4","nPatentByGenotype_R1","nPatentByGenotype_S1","nPatentByGenotype_R2","nPatentByGenotype_S2","nPatentByGenotype_R3","nPatentByGenotype_S3","nPatentByGenotype_R4","nPatentByGenotype_S4","nHostDrugConcNonZero_A1","nHostDrugConcNonZero_B1","nHostDrugConcNonZero_C1","nHostDrugConcNonZero_D1","nHostDrugConcNonZero_E1","nHostDrugConcNonZero_A2","nHostDrugConcNonZero_B2","nHostDrugConcNonZero_C2","nHostDrugConcNonZero_D2","nHostDrugConcNonZero_E2","nHostDrugConcNonZero_A3","nHostDrugConcNonZero_B3","nHostDrugConcNonZero_C3","nHostDrugConcNonZero_D3","nHostDrugConcNonZero_E3","nHostDrugConcNonZero_A4","nHostDrugConcNonZero_B4","nHostDrugConcNonZero_C4","nHostDrugConcNonZero_D4","nHostDrugConcNonZero_E4","sumLogDrugConcNonZero_A1","sumLogDrugConcNonZero_B1","sumLogDrugConcNonZero_C1","sumLogDrugConcNonZero_D1","sumLogDrugConcNonZero_E1","sumLogDrugConcNonZero_A2","sumLogDrugConcNonZero_B2","sumLogDrugConcNonZero_C2","sumLogDrugConcNonZero_D2","sumLogDrugConcNonZero_E2","sumLogDrugConcNonZero_A3","sumLogDrugConcNonZero_B3","sumLogDrugConcNonZero_C3","sumLogDrugConcNonZero_D3","sumLogDrugConcNonZero_E3","sumLogDrugConcNonZero_A4","sumLogDrugConcNonZero_B4","sumLogDrugConcNonZero_C4","sumLogDrugConcNonZero_D4","sumLogDrugConcNonZero_E4"
1,8958,9270,14067,67705,5091,7138,12088,58192,7386.85,9270,14067,67705,3139,4844,7099,18603,0.0195902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6358640,0,0,0,0,0,0,0,0,0,0,3859,3887,6106,6042,10768,10769,47145,47248,1739,1707,2478,2478,3096,3221,5913,5954,1698,0,0,0,0,1949,0,0,0,0,1655,0,0,0,0,2379,0,0,0,0,-6363.8,0,0,0,0,-7487.83,0,0,0,0,-6571.65,0,0,0,0,-9662.96,0,0,0,0
2,8956,9273,14066,67705,5011,7103,12059,57672,7339.02,9273,14066,67705,3059,4673,6875,17444,0.0182671,124,106,62,58,268,332,262,290,475.232,476.919,729.106,731.694,1525.7,1531.12,13317.5,13364.8,6200890,0.335627,0.426153,0,0,0,0,124,106,62,58,3769,3823,6055,5990,10685,10684,46179,46267,1665,1607,2322,2359,2971,2983,5405,5600,1612,0,0,0,0,1839,0,0,0,0,1520,0,0,0,0,2179,0,0,0,0,-6019.64,0,0,0,0,-7052.97,0,0,0,0,-6022.3,0,0,0,0,-8898.57,0,0,0,0
3,8955,9275,14065,67705,4952,7066,12049,57173,7288.25,9275,14065,67705,3001,4509,6638,16221,0.016961,94,85,56,56,277,273,265,284,407.51,408.099,625.612,626.516,1308.77,1310.66,11424.7,11441.2,6092630,0.306777,0.365198,0,0,0,0,94,85,56,57,3698,3757,5995,5956,10606,10612,45264,45370,1610,1585,2203,2235,2834,2840,5115,5162,1547,0,0,0,0,1744,0,0,0,0,1417,0,0,0,0,1985,0,0,0,0,-5765.2,0,0,0,0,-6639.68,0,0,0,0,-5617.68,0,0,0,0,-8108.68,0,0,0,0
4,8954,9273,14069,67704,4898,7045,12043,56604,7234.7,9273,14069,67704,2918,4400,6460,15131,0.0158496,88,99,56,47,268,289,258,255,354.706,354.351,544.363,543.819,1139.1,1137.96,9942.41,9932.46,6024890,0.284468,0.317429,0,0,0,0,88,99,59,47,3643,3692,5944,5907,10516,10558,44296,44424,1517,1519,2120,2112,2662,2711,4724,4761,1474,0,0,0,0,1679,0,0,0,0,1300,0,0,0,0,1831,0,0,0,0,-5517.48,0,0,0,0,-6446.84,0,0,0,0,-5133.34,0,0,0,0,-7503.28,0,0,0,0
5,8955,9271,14069,67705,4842,6999,12013,56003,7181.22,9271,14069,67705,2876,4251,6228,14181,0.0149143,97,83,57,55,247,260,233,278,312.148,311.705,478.984,478.305,1002.75,1001.33,8751.27,8738.86,5991280,0.267303,0.279341,0,0,0,0,98,84,57,57,3583,3637,5888,5847,10423,10475,43315,43442,1500,1474,2030,1978,2588,2532,4330,4446,1413,0,0,0,0,1609,0,0,0,0,1197,0,0,0,0,1636,0,0,0,0,-5364.55,0,0,0,0,-6155.26,0,0,0,0,-4689.69,0,0,0,0,-6681.05,0,0,0,0
6,8955,9270,14070,67705,4734,6962,11991,55376,7125.52,9270,14070,67705,2830,4085,6043,13441,0.014081,108,96,54,37,251,246,234,224,277.44,277.848,425.567,426.194,891.081,892.393,7776.24,7787.69,5987720,0.254209,0.248577,0,0,0,0,108,96,54,38,3484,3561,5813,5772,10337,10382,42373,42446,1420,1451,1912,1910,2452,2407,4029,4157,1345,0,0,0,0,1523,0,0,0,0,1133,0,0,0,0,1511,0,0,0,0,-5098.19,0,0,0,0,-5821.86,0,0,0,0,-4433.59,0,0,0,0,-6162.09,0,0,0,0
7,8954,9271,14070,67705,4600,6918,11946,54704,7068.22,9271,14070,67705,2754,3933,5815,12740,0.013295,89,64,47,39,256,245,227,221,249.159,250.901,382.217,384.889,800.228,805.823,6983.3,7032.12,6012290,0.244354,0.223849,0,0,0,0,89,64,47,40,3395,3451,5716,5714,10240,10273,41447,41447,1377,1373,1829,1793,2317,2284,3851,3943,1301,0,0,0,0,1465,0,0,0,0,1075,0,0,0,0,1345,0,0,0,0,-4920.48,0,0,0,0,-5570.97,0,0,0,0,-4204.63,0,0,0,0,-5456.32,0,0,0,0
8,8954,9271,14070,67705,4531,6893,11927,54008,7011.87,9271,14070,67705,2765,3837,5605,12203,0.012564,87,70,62,42,243,267,215,216,226.498,229.286,347.492,351.769,727.416,736.369,6348.27,6426.4,6065140,0.237085,0.204032,0,0,0,0,88,71,62,43,3337,3372,5655,5631,10131,10175,40535,40455,1346,1314,1773,1763,2214,2233,3681,3838,1246,0,0,0,0,1393,0,0,0,0,1012,0,0,0,0,1220,0,0,0,0,-4725.74,0,0,0,0,-5333.19,0,0,0,0,-3966.96,0,0,0,0,-4929.09,0,0,0,0
9,8954,9271,14070,67705,4433,6883,11890,53310,6955.91,9271,14070,67705,2653,3756,5413,11700,0.0119468,92,81,51,27,226,245,228,247,208.679,211.123,320.237,323.987,670.376,678.226,5851.14,5919.66,6148510,0.231888,0.187994,0,0,0,0,92,81,51,27,3254,3269,5595,5573,10017,10027,39618,39489,1268,1259,1667,1680,2085,2109,3556,3559,1185,0,0,0,0,1329,0,0,0,0,939,0,0,0,0,1115,0,0,0,0,-4500.96,0,0,0,0,-5104,0,0,0,0,-3603.13,0,0,0,0,-4477.26,0,0,0,0
10,8954,9272,14069,67705,4367,6837,11829,52669,6900.63,9272,14069,67705,2547,3611,5200,11274,0.0115729,82,68,51,36,238,240,210,217,194.641,195.867,298.614,300.495,625.171,629.109,5455.99,5490.36,6266760,0.228358,0.17483,0,0,0,0,82,68,51,36,3212,3203,5493,5510,9907,9894,38729,38696,1213,1210,1629,1564,2083,1995,3417,3469,1129,0,0,0,0,1281,0,0,0,0,894,0,0,0,0,1025,0,0,0,0,-4251.81,0,0,0,0,-4908.43,0,0,0,0,-3414.1,0,0,0,0,-4129.89,0,0,0,0
