"Factor","First","AGE","Coverage_reduction","Number_round","Seasonality"
"Coverage",0.314309315637405,"5","0","4","sesonality2"
"Access",0.0597122294289915,"5","0","4","sesonality2"
"eir",0.625978454933603,"5","0","4","sesonality2"
"Coverage",0.202167386949467,"5","0","4","sesonality3"
"Access",0.107953677917912,"5","0","4","sesonality3"
"eir",0.682354834216934,"5","0","4","sesonality3"
"Coverage",0.273600109253629,"5","0.1","4","sesonality2"
"Access",0.0452752642113019,"5","0.1","4","sesonality2"
"eir",0.663229861267272,"5","0.1","4","sesonality2"
"Coverage",0.183508782487645,"5","0.1","4","sesonality3"
"Access",0.0387388823500244,"5","0.1","4","sesonality3"
"eir",0.777752335162331,"5","0.1","4","sesonality3"
"Coverage",0.304324117154268,"5","0","5.4","sesonality2"
"Access",0.0758252010250284,"5","0","5.4","sesonality2"
"eir",0.601240496446876,"5","0","5.4","sesonality2"
"Coverage",0.234596793068619,"5","0","5.4","sesonality3"
"Access",0.0797538407145504,"5","0","5.4","sesonality3"
"eir",0.68564936621683,"5","0","5.4","sesonality3"
"Coverage",0.256323733912166,"5","0.1","5.4","sesonality2"
"Access",0.0156978593238904,"5","0.1","5.4","sesonality2"
"eir",0.726798916546738,"5","0.1","5.4","sesonality2"
"Coverage",0.200136267094277,"5","0.1","5.4","sesonality3"
"Access",0.0164140911854332,"5","0.1","5.4","sesonality3"
"eir",0.78344964172029,"5","0.1","5.4","sesonality3"
"Coverage",0.308734305824115,"5","0","4.5","sesonality2"
"Access",0.0105614078755653,"5","0","4.5","sesonality2"
"eir",0.680704286300319,"5","0","4.5","sesonality2"
"Coverage",0.261024634211361,"5","0","4.5","sesonality3"
"Access",0.0234610280363083,"5","0","4.5","sesonality3"
"eir",0.715514337752331,"5","0","4.5","sesonality3"
"Coverage",0.226059687216015,"5","0.1","4.5","sesonality2"
"Access",0.000564504465385314,"5","0.1","4.5","sesonality2"
"eir",0.7733758083186,"5","0.1","4.5","sesonality2"
"Coverage",0.208612014619543,"5","0.1","4.5","sesonality3"
"Access",0,"5","0.1","4.5","sesonality3"
"eir",0.791387985380457,"5","0.1","4.5","sesonality3"
"Coverage",0.433569686654565,"10","0","4","sesonality2"
"Access",0.169990855823424,"10","0","4","sesonality2"
"eir",0.388055940644449,"10","0","4","sesonality2"
"Coverage",0.344927733124417,"10","0","4","sesonality3"
"Access",0.20963864423719,"10","0","4","sesonality3"
"eir",0.445433622638392,"10","0","4","sesonality3"
"Coverage",0.435865846759947,"10","0.1","4","sesonality2"
"Access",0.0813311504501594,"10","0.1","4","sesonality2"
"eir",0.482803002789893,"10","0.1","4","sesonality2"
"Coverage",0.352166301708642,"10","0.1","4","sesonality3"
"Access",0.0989152296555973,"10","0.1","4","sesonality3"
"eir",0.548918468635761,"10","0.1","4","sesonality3"
"Coverage",0.501606942904368,"10","0","5.4","sesonality2"
"Access",0.125288041666991,"10","0","5.4","sesonality2"
"eir",0.373105015428641,"10","0","5.4","sesonality2"
"Coverage",0.362116102284652,"10","0","5.4","sesonality3"
"Access",0.187609707155008,"10","0","5.4","sesonality3"
"eir",0.449004090559299,"10","0","5.4","sesonality3"
"Coverage",0.421778025059853,"10","0.1","5.4","sesonality2"
"Access",0.049907463284274,"10","0.1","5.4","sesonality2"
"eir",0.528314511655873,"10","0.1","5.4","sesonality2"
"Coverage",0.342369498211235,"10","0.1","5.4","sesonality3"
"Access",0.0811158399459953,"10","0.1","5.4","sesonality3"
"eir",0.569036795611761,"10","0.1","5.4","sesonality3"
"Coverage",0.45091310545569,"10","0","4.5","sesonality2"
"Access",0.0861426763749503,"10","0","4.5","sesonality2"
"eir",0.451372046087238,"10","0","4.5","sesonality2"
"Coverage",0.464187714106983,"10","0","4.5","sesonality3"
"Access",0.111956620439832,"10","0","4.5","sesonality3"
"eir",0.423855665453185,"10","0","4.5","sesonality3"
"Coverage",0.398977520871397,"10","0.1","4.5","sesonality2"
"Access",0.0411516965708976,"10","0.1","4.5","sesonality2"
"eir",0.559870782557705,"10","0.1","4.5","sesonality2"
"Coverage",0.404604289166219,"10","0.1","4.5","sesonality3"
"Access",0.0669457588576119,"10","0.1","4.5","sesonality3"
"eir",0.525223788913329,"10","0.1","4.5","sesonality3"
