"Survey","nPatent_1","nPatent_2","nPatent_3","nPatent_4"
1,1732,2580,4670,16111
2,1669,2491,4519,15191
3,1606,2395,4361,14253
4,1537,2312,4156,13360
5,1488,2268,4062,12870
6,1426,2211,3899,12290
7,1423,2132,3685,11676
8,1349,2068,3607,11146
9,1276,2003,3509,10631
10,1250,1950,3403,10216
11,1171,1889,3320,9703
12,1118,1842,3162,9235
13,1072,1738,3034,8804
14,1028,1684,2997,8529
15,1010,1585,2907,8265
16,969,1508,2813,8008
17,938,1456,2722,7716
18,898,1416,2610,7361
19,858,1354,2536,7153
20,842,1365,2458,6984
21,825,1353,2438,6753
22,800,1335,2431,6572
23,795,1336,2395,6474
24,798,1301,2396,6462
25,795,1327,2359,6362
26,796,1344,2359,6416
27,823,1333,2300,6491
28,847,1365,2385,6477
29,876,1402,2444,6558
30,913,1459,2512,6725
31,981,1544,2640,6935
32,1023,1699,2756,7244
33,1074,1776,2909,7565
34,1148,1882,3160,7938
35,1259,2051,3341,8534
36,1406,2191,3578,9057
37,1474,2329,3893,9860
38,1628,2479,4111,10523
39,1718,2616,4362,11213
40,1821,2753,4622,12017
41,1946,2915,4924,12967
42,1997,3054,5106,14123
43,2108,3141,5386,15186
44,2203,3166,5623,16671
45,2294,3264,5868,18097
46,2308,3362,6130,19731
47,2311,3397,6245,21589
48,2361,3553,6476,23346
49,2358,3610,6618,24999
50,2322,3623,6632,26704
51,2379,3589,6741,28283
52,2423,3576,6689,29691
53,2435,3575,6695,30659
54,2440,3492,6599,31233
55,2503,3467,6559,31853
56,2466,3455,6530,32272
57,2471,3419,6471,32394
58,2450,3374,6427,32372
59,2382,3344,6333,32246
60,2346,3346,6231,31944
61,2313,3388,6192,31378
62,2249,3320,6075,30662
63,2250,3287,6036,29802
64,2240,3224,5941,28853
65,2235,3188,5765,27906
66,2241,3133,5701,26882
67,2233,3034,5592,25706
68,2169,3015,5565,24385
69,2131,3001,5493,23328
70,2103,3013,5342,22052
71,2026,2942,5285,20762
72,1971,2914,5205,19495
73,1912,2845,5024,18436
74,1867,2772,5020,17507
75,1781,2691,4916,16421
76,1754,2591,4779,15456
77,1689,2561,4603,14816
78,1566,2476,4434,13854
79,1521,2382,4297,13277
80,1464,2259,4124,12648
81,1373,2170,3980,12047
82,1338,2084,3780,11526
83,1298,2036,3634,10852
84,1183,1956,3503,10407
85,1168,1872,3340,10099
86,1138,1790,3169,9655
87,1086,1718,3093,9353
88,1045,1690,2982,8969
89,991,1645,2865,8472
90,981,1570,2871,8165
91,910,1531,2791,7805
92,891,1462,2750,7462
93,878,1428,2729,7273
94,844,1419,2637,7194
95,801,1449,2589,7056
96,789,1444,2505,6812
