"Coverage","Access","EIR","Indicator","Age","Number_round","Seasonality","Coverage_reduction","Time_0.1","Prevalance"
0.75,0.1,5,0.00528636128018159,5,4,"sesonality2",0,110,0.1805868710145
0.85,0.1,5,0.0062597660408291,5,4,"sesonality2",0,110,0.171866482088326
0.95,0.1,5,0.00763000332517159,5,4,"sesonality2",0,110,0.1805868710145
0.75,0.4,5,0.00649586855810939,5,4,"sesonality2",0,110,0.0830001829295434
0.85,0.4,5,0.00736557460494417,5,4,"sesonality2",0,110,0.0830001829295434
0.95,0.4,5,0.00857494632847877,5,4,"sesonality2",0,89.3128981824928,0.0830001829295434
0.75,0.1,15,0.00713589216283431,5,4,"sesonality2",0,110,0.248993732221783
0.85,0.1,15,0.00834542645824047,5,4,"sesonality2",0,91.7692238003659,0.247495815828381
0.95,0.1,15,0.00989354911290814,5,4,"sesonality2",0,77.4093603433528,0.248993732221783
0.75,0.4,15,0.00800420816892469,5,4,"sesonality2",0,95.6813331428701,0.137001431448641
0.85,0.4,15,0.00912735728619795,5,4,"sesonality2",0,83.9074536409197,0.137001431448641
0.95,0.4,15,0.010552632986569,5,4,"sesonality2",0,72.5746180437161,0.137001431448641
0.75,0.1,25,0.00873156203668421,5,4,"sesonality2",0,87.710916458952,0.287614427416964
0.85,0.1,25,0.0101538179647275,5,4,"sesonality2",0,75.4251564304378,0.300904132321922
0.95,0.1,25,0.0118836729616356,5,4,"sesonality2",0,64.4458418561495,0.287614427416964
0.75,0.4,25,0.00933343004563885,5,4,"sesonality2",0,82.0548613543869,0.17938386441634
0.85,0.4,25,0.0106967529667891,5,4,"sesonality2",0,71.5968023879357,0.17938386441634
0.95,0.4,25,0.0123451767595344,5,4,"sesonality2",0,62.0366417811137,0.17938386441634
0.75,0.1,35,0.00988963205214503,5,4,"sesonality2",0,77.4400204494619,0.320021331650414
0.85,0.1,35,0.0114886789913002,5,4,"sesonality2",0,66.6615638695892,0.320739427879297
0.95,0.1,35,0.0133975351316729,5,4,"sesonality2",0,57.1637469750105,0.320021331650414
